Nombre,Precio_Fantastica,Equipo,Posicion,Puntos_PFSY
R. Brugué,7.0,Levante,Delantero,42
R. Chasco,1.0,Osasuna,Defensa,0
R. Mendoza,8.0,Atlético,Mediocampista,58
B. Terrats,7.0,Espanyol,Mediocampista,66
RP. Bigas,10.0,Elche,Defensa,89
Raba,5.0,Valencia,Delantero,31
Rafa Marín,16.0,Villarreal,Defensa,101
Rafa Mir,10.0,Elche,Delantero,105
Rafa Romero,1.0,Sevilla,Portero,0
Raghouber,7.0,Levante,Mediocampista,19
Ramazani,7.0,Valencia,Delantero,64
Raphinha,27.0,Barcelona,Delantero,157
Rashford,16.0,Barcelona,Delantero,130
Ratiu,18.0,Rayo,Defensa,149
Rayane,1.0,Atlético,Delantero,0
Raíllo,10.0,Mallorca,Defensa,87
Raúl,7.0,Osasuna,Delantero,82
Raúl Fernández,1.0,Alavés,Portero,0
Raúl Moro,8.0,Osasuna,Delantero,35
Redondo,3.0,Elche,Mediocampista,14
Rego,6.0,Athletic,Defensa,43
Remiro,12.0,Real Sociedad,Portero,138
Renato Veiga,10.0,Villarreal,Defensa,81
Rico,9.0,Getafe,Defensa,67
Riedel,8.0,Espanyol,Defensa,49
Rioja,12.0,Valencia,Mediocampista,131
Riquelme,6.0,Betis,Mediocampista,48
Risco,1.0,Getafe,Mediocampista,0
Ristic,5.0,Celta,Defensa,13
Roberto,10.0,Espanyol,Delantero,113
Rodrygo,8.0,Real Madrid,Delantero,92
Rodríguez,9.0,Betis,Defensa,68
Roson UlsuI,0.2,Levante,Mediocampista,0
Ruben,1.0,Villarreal,Portero,0
Rubo,3.0,Valencia,Defensa,2
Rubén Blanco,1.0,Girona,Portero,0
Rubén García,14.0,Osasuna,Mediocampista,133
Rubén S.,6.0,Espanyol,Mediocampista,38
Ruggeri,12.0,Atlético,Defensa,103
Ryan,22.0,Levante,Portero,172
Rdiger,10.0,Real Madrid,Defensa,69
S. Cazorla,6.0,Real Oviedo,Mediocampista,52
Sadiq,7.0,Valencia,Delantero,50
Salguero,1.0,Girona,Defensa,0
Salhi,1.0,Mallorca,Defensa,0
Salinas,3.0,Espanyol,Defensa,7
Samu Costa,10.0,Mallorca,Mediocampista,105
Santamaría,7.0,Valencia,Mediocampista,58
Santos,0.25,Osasuna,Defensa,0
Sarasa,0.3,Girona,Delantero,0
Saravia,1.0,Valencia,Defensa,0
Satriano,16.0,Getafe,Delantero,51
Selton,4.0,Athletic,Mediocampista,15
Sergio Gómez,11.0,Real Sociedad,Defensa,124
Sergio Herrera,20.0,Osasuna,Portero,178
Sibo,9.0,Real Oviedo,Mediocampista,57
Sierra,0.3,Villarreal,Defensa,0
Sivera,10.0,Alavés,Portero,129
Solozabal,1.0,Getafe,Mediocampista,0
Sorloth,10.0,Atlético,Delantero,124
Sow,10.0,Sevilla,Mediocampista,109
Stamatakis,1.0,Osasuna,Portero,0
Starfelt,16.0,Celta,Defensa,106
Stuani,5.0,Girona,Delantero,36
Suazo,10.0,Sevilla,Defensa,71
Sucic,6.0,Real Sociedad,Mediocampista,43
Swiderski,1.0,Alavés,Portero,0
szczesny,8.0,Barcelona,Portero,32
T.Borbas,3.0,Real Oviedo,Delantero,6
T.Martinez,11.0,Alavés,Delantero,129
T. Morente,6.0,Elche,Delantero,9
Taufik Seidu,0.3,Atlético,Mediocampista,0
Tchouaméni,15.0,Real Madrid,Mediocampista,138
Tenaglia,11.0,Alavés,Defensa,123
