Temporada,Jornada,ID_Partido,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_Fantasy,Jugador_SofaScore,Posicion,Edad,Nacionalidad,Precio_Fantastica,Probabilidad_Jugar,Estado_Medico,Estado_Forma,Partidos_Jugados,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3,Goles_Temporada,Asistencias_Temporada,Penaltis_Parados_Temporada,Amarillas_Temporada,Rojas_Temporada,Minutos_jugados,Nota_SofaScore,Goles_Partido,Asistencias_Partido,Asistencias_sin_gol,Tiros_a_puerta,Regates,Balones_al_area,Balones_recuperados,Posesiones_perdidas,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_Parados_Partido,Penaltis_fallados,Goles_en_propia_puerta,Amarillas_Partido,Rojas_Partido,Puntos,Relevo
2025/26,29,20356,Mallorca,Elche,0,Darder,Darder,Sergi Darder,Mediocampista,32,ES,14.0,50%,Sano,1.0,28.0,145,5.2,4,6,5,1.0,4.0,0.0,3.0,0.0,25,6.3,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,1
2025/26,29,20356,Mallorca,Elche,0,Morlanes,Morlanes,Manu Morlanes,Mediocampista,27,ES,8.0,70%,Sano,1.0,22.0,70,3.2,3,5,2,1.0,0.0,0.0,4.0,1.0,25,6.6,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,1
2025/26,29,20356,Mallorca,Elche,0,Kalumba,Kalumba Jr,Justin-Noel Kalumba,Delantero,21,FR,3.0,10%,Sano,1.5,1.0,2,2.0,2,0,0,0.0,0.0,0.0,0.0,0.0,13,6.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2025/26,29,20357,Espanyol,Getafe,1,Dmitrovic,Dmitrovic,Marko Dmitrović,Portero,34,RS,16.0,95%,Sano,1.8,28.0,159,5.7,10,5,7,0.0,0.0,0.0,0.0,0.0,90,6.2,0,0,0,0,0,0,3,4,0,2,0,0,0,0,0,0,0,0,1,0
2025/26,29,20357,Espanyol,Getafe,1,Cabrera,Cabrera,Leandro Cabrera,Defensa,34,UY,10.0,95%,Sano,1.6,27.0,121,4.5,2,5,6,3.0,0.0,0.0,2.0,0.0,90,6.9,0,0,0,0,0,1,5,10,8,0,0,0,0,0,0,0,0,0,4,2
2025/26,29,20357,Espanyol,Getafe,1,El Hilali,El Hilali,Omar El Hilali,Defensa,22,MA,9.0,80%,Sano,1.1,26.0,71,2.7,-1,6,0,0.0,2.0,0.0,5.0,0.0,65,6.9,0,0,1,0,0,2,3,11,4,0,0,0,0,0,0,0,0,0,3,2
2025/26,29,20357,Espanyol,Getafe,1,Romero,C. Romero,Carlos Romero,Defensa,24,ES,13.0,95%,Sano,1.6,26.0,132,5.1,-2,6,7,5.0,2.0,0.0,3.0,0.0,90,6.3,0,0,1,0,0,1,1,11,3,0,0,0,0,0,0,0,0,0,1,1
2025/26,29,20357,Getafe,Getafe,1,Romero,Zaid Romero,Carlos Romero,Defensa,26,AR,25.0,90%,Sano,1.8,8.0,58,7.3,4,8,9,0.0,0.0,0.0,2.0,0.0,90,6.3,0,0,1,0,0,1,1,11,3,0,0,0,0,0,0,0,0,0,1,1
2025/26,29,20361,Sevilla,Getafe,1,Romero,Isaac,Carlos Romero,Delantero,25,ES,8.0,30%,Sano,1.4,20.0,61,3.1,0,2,6,4.0,0.0,0.0,4.0,1.0,90,6.3,0,0,1,0,0,1,1,11,3,0,0,0,0,0,0,0,0,0,1,1
2025/26,29,20357,Espanyol,Getafe,1,Riedel,Riedel,Clemens Riedel,Defensa,22,DE,8.0,60%,Sano,1.3,15.0,49,3.3,1,4,1,0.0,1.0,0.0,4.0,0.0,78,6.4,0,0,0,0,0,0,3,8,4,0,0,0,0,0,0,0,0,0,1,1
