ID_Partido,Temporada,Jornada,Equipo,Nombre,Posicion,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
20319,2025/26,25,Visitante,Huijsen,Desconocido,20,ES,70%,Sano,18,1,2,0,4,1,0.9,113,6.3,0,15,4
20319,2025/26,25,Visitante,Camavinga,Desconocido,23,FR,70%,Sano,18,1,0,0,0,0,1.2,83,4.6,3,6,7
20319,2025/26,25,Visitante,Ceballos,Desconocido,29,ES,50%,Sano,14,0,0,0,1,0,1.2,44,3.1,2,0,3
20319,2025/26,25,Visitante,Brahim,Desconocido,26,MA,50%,Sano,16,0,4,0,1,0,1.3,69,4.3,2,8,10
20319,2025/26,25,Visitante,Gonzalo,Desconocido,21,ES,50%,Sano,19,4,0,0,1,0,1.4,58,3.1,9,4,2
20319,2025/26,25,Visitante,Rüdiger,Desconocido,32,DE,50%,Sano,8,0,0,0,0,0,2,44,5.5,3,0,0
20319,2025/26,25,Visitante,Mastantuono,Desconocido,18,AR,50%,Sano,15,1,0,0,4,0,0,55,3.7,0,1,3
20319,2025/26,25,Visitante,Alaba,Desconocido,33,AT,30%,Sano,6,0,0,0,0,0,1.1,14,2.3,2,0,2
20319,2025/26,25,Visitante,Rodrygo,Desconocido,25,BR,30%,Lesionado/Duda,18,1,3,0,3,0,1,90,5,0,0,3
20319,2025/26,25,Visitante,Carvajal,Desconocido,34,ES,30%,Sano,8,0,0,0,0,0,1,28,3.5,3,0,0
20319,2025/26,25,Visitante,Fran García,Desconocido,26,ES,20%,Sano,7,1,0,0,2,1,-1,26,3.7,0,0,0
