Temporada,Jornada,Equipo_Nombre,Jugador_stats,Jugador_SofaScore,Stats_Reales,Puntos_Teoricos,Discrepancia
T24-25,J37,Real Betis,Adrián,Adrián,4,12,-8
T24-25,J37,Real Betis,Nobel Mendy,Nobel Mendy,1,9,-8
T24-25,J26,Real Sociedad,Álex Remiro,Álex Remiro,0,8,-8
T24-25,J10,Sevilla,Ørjan Nyland,Ørjan Nyland,0,8,-8
T23-24,J24,Girona FC,Yan Couto,Yan Couto,-6,2,-8
T24-25,J13,Osasuna,Alejandro Catena,Alejandro Catena,-2,6,-8
T25-26,J13,Sevilla,Juanlu Sánchez,Juanlu Sánchez,1,9,-8
T23-24,J24,Girona FC,Paulo Gazzaniga,Paulo Gazzaniga,0,8,-8
T23-24,J24,Girona FC,Juanpe,Juanpe,-3,5,-8
T25-26,J13,Osasuna,Aimar Oroz,Aimar Oroz,4,12,-8
T24-25,J35,Barcelona,Raphinha,Raphinha,10,18,-8
T24-25,J35,Real Madrid,Thibaut Courtois,Thibaut Courtois,0,8,-8
T24-25,J35,Real Madrid,Lucas Vázquez,Lucas Vázquez,-2,6,-8
T24-25,J35,Real Madrid,Fran García,Fran García,-2,6,-8
T24-25,J35,Real Madrid,Raúl Asencio,Raúl Asencio,-2,6,-8
T23-24,J1,Deportivo Alavés,Rafa Marín,Rafa Marín,0,8,-8
T24-25,J28,Villarreal,Juan Foyth,Juan Foyth,6,14,-8
T24-25,J35,Real Sociedad,Álex Remiro,Álex Remiro,0,8,-8
T24-25,J6,Espanyol,Leandro Cabrera,Leandro Cabrera,-1,7,-8
T23-24,J23,Rayo Vallecano,Alfonso Espino,Alfonso Espino,4,12,-8
T23-24,J19,Atlético Madrid,Jan Oblak,Jan Oblak,2,10,-8
T24-25,J3,Celta Vigo,Iván Villar,Iván Villar,7,15,-8
T24-25,J34,Real Betis,Ricardo Rodríguez,Ricardo Rodríguez,0,8,-8
T23-24,J19,Las Palmas,Sergi Cardona,Sergi Cardona,2,10,-8
T23-24,J36,Deportivo Alavés,Jesús Owono,Jesús Owono,3,11,-8
T24-25,J28,Atlético Madrid,Reinildo Mandava,Reinildo Mandava,-2,6,-8
T24-25,J28,Atlético Madrid,Jan Oblak,Jan Oblak,-1,7,-8
T24-25,J28,Barcelona,Jules Koundé,Jules Koundé,0,8,-8
T23-24,J23,Villarreal,Alejandro Baena,Alejandro Baena,4,12,-8
T24-25,J34,Sevilla,Adrià Pedrosa,Adrià Pedrosa,-1,7,-8
T23-24,J20,Real Sociedad,Aritz Elustondo,Aritz Elustondo,-2,6,-8
T23-24,J38,Granada,Ricard Sánchez,Ricard Sánchez,-5,3,-8
T24-25,J29,Girona FC,Paulo Gazzaniga,Paulo Gazzaniga,2,10,-8
T23-24,J20,Cádiz,Jeremías Ledesma,Jeremías Ledesma,-1,7,-8
T24-25,J1,Las Palmas,Álex Muñoz,Álex Muñoz,2,10,-8
T24-25,J34,Osasuna,Sergio Herrera,Sergio Herrera,-2,6,-8
T23-24,J38,Granada,Faitout Maouassa,Faitout Maouassa,-2,6,-8
T24-25,J33,Real Valladolid,André Ferreira,André Ferreira,-2,6,-8
T24-25,J33,Real Valladolid,Luis Pérez,Luis Pérez,-1,7,-8
T24-25,J33,Real Valladolid,Adam Aznou,Adam Aznou,0,8,-8
